eventId,subEventName,tags,playerId,matchId,eventName,teamId,matchPeriod,eventSec,subEventId,id,x1,y1,x2,y2
8,Simple pass,['Not accurate'],Jos\u00e9 Miguel da Rocha Fonte,"Portugal - Morocco, 1 - 0",Pass,Portugal,1H,2660.679988,Simple pass,259478042,37,44,0.0,0.0
8,Launch,['Not accurate'],Rui Pedro dos Santos Patr\u00edcio,"Portugal - Morocco, 1 - 0",Pass,Portugal,1H,2747.807466,Launch,259478046,21,23,73.0,29.0
8,Head pass,['Accurate'],Karim El Ahmadi Al Aroos,"Portugal - Morocco, 1 - 0",Pass,Morocco,1H,2751.254514,Head pass,259478127,27,71,37.0,75.0
1,Ground attacking duel,"['Anticipation', 'Neutral', 'Accurate']",Youn\u00e8s Belhanda,"Portugal - Morocco, 1 - 0",Duel,Morocco,1H,2752.625786,Ground attacking duel,259478128,37,75,34.0,71.0
1,Ground defending duel,"['Anticipated', 'Neutral', 'Accurate']",William Silva de Carvalho,"Portugal - Morocco, 1 - 0",Duel,Portugal,1H,2753.474866,Ground defending duel,259478050,63,25,66.0,29.0
1,Ground loose ball duel,"['Neutral', 'Accurate']",Mbark Boussoufa,"Portugal - Morocco, 1 - 0",Duel,Morocco,1H,2753.854553,Ground loose ball duel,259478130,34,71,36.0,65.0
1,Ground loose ball duel,"['Won', 'Accurate']",Mbark Boussoufa,"Portugal - Morocco, 1 - 0",Duel,Morocco,1H,2754.22995,Ground loose ball duel,259478129,36,65,38.0,65.0
1,Ground loose ball duel,"['Lost', 'Not accurate']",Jo\u00e3o Filipe Iria Santos Moutinho,"Portugal - Morocco, 1 - 0",Duel,Portugal,1H,2754.263375,Ground loose ball duel,259478051,64,35,62.0,35.0
2,Foul,[],Jo\u00e3o Filipe Iria Santos Moutinho,"Portugal - Morocco, 1 - 0",Foul,Portugal,1H,2755.961216,Foul,259478052,62,35,64.0,35.0
3,Free Kick,['Accurate'],Youn\u00e8s Belhanda,"Portugal - Morocco, 1 - 0",Free Kick,Morocco,1H,2757.767679,Free Kick,259478131,40,73,38.0,71.0
8,High pass,['Accurate'],Karim El Ahmadi Al Aroos,"Portugal - Morocco, 1 - 0",Pass,Morocco,1H,2758.686768,High pass,259478132,38,71,97.0,88.0
1,Ground defending duel,"['Lost', 'Not accurate']",Rapha\u00ebl Adelino Jos\u00e9 Guerreiro,"Portugal - Morocco, 1 - 0",Duel,Portugal,1H,2764.674272,Ground defending duel,259478055,3,12,5.0,6.0
1,Ground attacking duel,"['Won', 'Accurate']",Nordin Amrabat,"Portugal - Morocco, 1 - 0",Duel,Morocco,1H,2764.749796,Ground attacking duel,259478135,97,88,95.0,94.0
2,Foul,[],Rapha\u00ebl Adelino Jos\u00e9 Guerreiro,"Portugal - Morocco, 1 - 0",Foul,Portugal,1H,2768.373614,Foul,259478056,5,6,3.0,12.0
3,Free kick cross,"['Key pass', 'High', 'Accurate']",Hakim Ziyech,"Portugal - Morocco, 1 - 0",Free Kick,Morocco,1H,2794.886029,Free kick cross,259478136,97,89,92.0,55.0
1,Air duel,"['Won', 'Accurate']",Youn\u00e8s Belhanda,"Portugal - Morocco, 1 - 0",Duel,Morocco,1H,2795.944474,Air duel,259478137,92,55,93.0,52.0
